Molecule_ID,E_ST,condition E_ST,S?,condition S?,T?,condition T?
TADF-M-00655,470,toluene,3350,toluene,2880,toluene
TADF-M-00656,390,toluene,3240,toluene,2850,toluene
TADF-M-00657,260,toluene,2830,toluene,2570,toluene
TADF-M-02437,140,toluene,2890,toluene,2750,toluene
TADF-M-02438,30,toluene,3000,toluene,2970,toluene
TADF-M-00669,10,mCP,,,,
TADF-M-02440,80,zeonex,3180,zeonex,3100,zeonex
TADF-M-02441,20,zeonex,3200,zeonex,3180,zeonex
TADF-M-02442,40,zeonex,3220,zeonex,3180,zeonex
TADF-M-02443,190,zeonex,3370,zeonex,3180,zeonex
TADF-M-02444,190,zeonex,3370,zeonex,3180,zeonex
TADF-M-02455,200,toluene,2340,toluene,2140,toluene
TADF-M-02456,140,toluene,2220,toluene,2080,toluene
TADF-M-02457,230,PPF,3100,PPF,2870,PPF
TADF-M-02458,80,PPF,3000,PPF,2920,PPF
TADF-M-02459,150,PPF,2860,PPF,27100,PPF
TADF-M-00694,50,toluene,,,,
TADF-M-02450,200,zeonex,2980,zeonex,2780,zeonex
TADF-M-02451,120,neat film,3050,neat film,2830,zeonex
TADF-M-02462,340,PMMA,2560,PMMA,2220,PMMA
TADF-M-02461,260,THF,2470,THF,2280,PMMA
TADF-M-02460,20,mCBP,2240,mCBP,2280,THF
TADF-M-00718,210,toluene,,,,
TADF-M-00716,210,toluene,,,,
TADF-M-00252,240,toluene,3200,toluene,2870,toluene
TADF-M-00717,220,toluene,,,,
TADF-M-00253,170,toluene,,,2680,toluene
TADF-M-00163,54,neat film,,,,
TADF-M-00719,190,CBP,2430,TCTA,2180,CBP
TADF-M-00720,210,CBP,2450,CBP,2230,TCTA
TADF-M-00721,50,zeonex,2250,TCTA,2210,TCTA
TADF-M-00722,80,zeonex,2290,TCTA,2240,TCTA
TADF-M-00723,70,TCTA,2320,TCTA,2250,TCTA
TADF-M-02495,240,neat film,2820,neat film,2580,neat film
TADF-M-02496,50,neat film,2570,neat film,2520,neat film
TADF-M-00854,140,toluene,1810,toluene,1670,toluene
TADF-M-00855,200,toluene,1950,toluene,1750,toluene
TADF-M-00825,170,SiTrzCz2,2780,SiTrzCz2,2610,SiTrzCz2
TADF-M-00826,140,SiTrzCz2,2740,SiTrzCz2,2600,SiTrzCz2
TADF-M-00827,90,SiTrzCz2,2700,SiTrzCz2,2610,SiTrzCz2
TADF-M-00828,130,SiTrzCz2,2700,SiTrzCz2,2570,SiTrzCz2
TADF-M-02466,530,hexane,3070,hexane,2540,ethanol
