Molecule_ID,E_ST,condition E_ST,S?,condition S?,T?,condition T?
TADF-M-01605,110,THF,2770,THF,2660,THF
TADF-M-02033,30,toluene,,,,
TADF-M-02034,50,toluene,,,,
TADF-M-02035,30,toluene,,,,
TADF-M-01269,100,toluene,,,,
TADF-M-01270,90,toluene,,,,
TADF-M-02036,110,toluene,,,,
TADF-M-02039,830,THF,3890,THF,3060,THF
TADF-M-02040,620,THF,3660,THF,3040,THF
TADF-M-02041,470,THF,3510,THF,3040,THF
TADF-M-02042,410,THF,3450,THF,3040,THF
TADF-M-02043,460,THF,3500,THF,3040,THF
TADF-M-02044,220,toluene,2540,toluene,2320,toluene
TADF-M-02047,100,neat film,,,,
TADF-M-02048,30,neat film,,,,
TADF-M-02051,130,toluene,,,,
TADF-M-02049,130,toluene,,,,
TADF-M-02052,140,toluene,,,,
TADF-M-02053,150,toluene,,,,
TADF-M-02883,16,toluene,,,,
TADF-M-02890,130,toluene,2570,toluene,2440,toluene
TADF-M-02065,29,PPF,,,,
TADF-M-02066,55,PPF,,,,
TADF-M-02067,18,PPF,,,,
TADF-M-02085,160,toluene,2740,toluene,2570,toluene
TADF-M-02086,160,toluene,2670,toluene,2510,toluene
TADF-M-02087,130,toluene,2570,toluene,2440,toluene
TADF-M-02891,200,toluene,,,,
TADF-M-02892,170,toluene,,,,
TADF-M-02895,150,toluene,2610,toluene,2460,toluene
TADF-M-02896,170,toluene,2640,toluene,2470,toluene
TADF-M-02897,140,toluene,2480,toluene,2370,toluene
TADF-M-02898,460,mCP,2970,mCP,2510,mCP
TADF-M-02899,320,mCBP,2860,mCBP,2540,mCBP
TADF-M-02900,100,TCTA,2580,TCTA,2480,TCTA
TADF-M-00335,,,3260,neat film,2900,neat film
TADF-M-00334,,,3320,neat film,2700,neat film
TADF-M-00341,,,3000,neat film,2600,neat film
TADF-M-01985,,,3450,neat film,2780,neat film
TADF-M-02088,780,toluene,3720,toluene,2940,toluene
TADF-M-02089,1220,toluene,4410,toluene,3190,toluene
TADF-M-02090,1070,toluene,3800,toluene,2730,toluene
TADF-M-02091,300,toluene,3200,toluene,2900,toluene
TADF-M-02092,270,toluene,2970,toluene,2700,toluene
TADF-M-02093,20,CBP,2610,CBP,2590,CBP
TADF-M-02094,20,CBP,2540,CBP,2520,CBP
TADF-M-02095,30,CBP,2510,CBP,2480,CBP
TADF-M-02096,170,toluene,2940,toluene,2770,toluene
TADF-M-02097,230,toluene,2990,toluene,2760,toluene
TADF-M-02098,170,toluene,2260,toluene,2090,toluene
TADF-M-02099,280,toluene,2190,toluene,1910,toluene
TADF-M-02102,50,toluene,,,2970,toluene
TADF-M-02902,60,mCBP,,,,
TADF-M-02903,110,mCBP,,,,
TADF-M-02904,110,toluene,2940,toluene,2830,toluene
TADF-M-02905,70,toluene,2880,toluene,2810,toluene
TADF-M-02906,30,toluene,2870,toluene,2840,toluene
TADF-M-02113,,,,,2960,THF
TADF-M-02114,,,,,2940,THF
TADF-M-02115,,,,,2870,THF
TADF-M-02116,140,toluene,2960,toluene,2820,toluene
TADF-M-02117,130,toluene,2970,toluene,2840,toluene
TADF-M-02118,240,toluene,3100,toluene,2860,toluene
TADF-M-00215,170,toluene,3110,toluene,2940,toluene
TADF-M-02119,190,toluene,3180,toluene,2990,toluene
TADF-M-00177,60,mCBP,2850,mCBP,2790,mCBP
TADF-M-02135,10,mCBP,2740,mCBP,2730,mCBP
TADF-M-00179,50,mCBP,2920,mCBP,2870,mCBP
TADF-M-02137,470,neat film,,,,
TADF-M-02138,130,neat film,,,,
TADF-M-02139,90,neat film,,,,
TADF-M-02140,10,neat film,,,,
TADF-M-02141,10,neat film,,,,
TADF-M-02142,60,neat film,,,,
TADF-M-02120,,,,,2550,neat film
TADF-M-02121,,,3180,neat film,2530,neat film
TADF-M-02124,,,2820,CBP,,
TADF-M-02125,,,2260,CBP,,
TADF-M-02126,,,2100,CBP,,
TADF-M-02127,,,1950,CBP,,
TADF-M-02128,,,2290,CBP,,
TADF-M-02129,,,2090,CBP,,
TADF-M-02130,80,toluene,2060,toluene,1980,toluene
TADF-M-02131,110,toluene,2040,toluene,1930,toluene
TADF-M-02132,130,toluene,2560,toluene,2430,toluene
TADF-M-02908,,,2480,toluene,2360,toluene
TADF-M-02909,,,2460,toluene,2360,toluene
TADF-M-02910,50,toluene,2870,toluene,2820,toluene
TADF-M-02911,20,toluene,2720,toluene,2700,toluene
TADF-M-02153,160,mCP,2450,mCP,,
TADF-M-02154,20,toluene,2180,toluene,2160,toluene
TADF-M-02155,20,toluene,2270,toluene,2250,toluene
TADF-M-00767,20,neat film,2840,neat film,2820,neat film
TADF-M-02200,30,neat film,2860,neat film,2830,neat film
TADF-M-00768,90,neat film,2930,neat film,2840,neat film
TADF-M-02201,43,THF,2616,THF,2573,THF
TADF-M-00250,410,toluene,3340,toluene,2950,toluene
TADF-M-00114,270,toluene,3270,toluene,3030,toluene
TADF-M-00251,400,toluene,3390,toluene,3030,toluene
TADF-M-00818,170,toluene,,,2600,toluene
TADF-M-02919,,,,,2570,THF
TADF-M-02920,,,,,2550,THF
TADF-M-02161,20,neat film,,,,
TADF-M-02162,90,neat film,,,,
TADF-M-02164,350,neat film,3250,neat film,2900,neat film
TADF-M-02165,220,neat film,3080,neat film,2870,neat film
TADF-M-02166,200,neat film,3120,neat film,2920,neat film
TADF-M-02171,740,THF,3430,THF,2690,THF
TADF-M-02172,910,THF,3600,THF,2690,THF
TADF-M-02173,830,THF,3510,THF,2680,THF
TADF-M-02174,640,THF,3340,THF,2700,THF
TADF-M-02175,640,THF,3340,THF,2700,THF
TADF-M-02176,640,THF,3330,THF,2690,THF
TADF-M-02177,330,toluene,,,,
TADF-M-02178,290,toluene,,,,
TADF-M-02179,230,toluene,,,,
TADF-M-02922,10,toluene,2260,toluene,2250,toluene
TADF-M-02923,0,toluene,2290,toluene,2290,toluene
TADF-M-02924,-40,toluene,2310,toluene,2350,toluene
TADF-M-02925,-30,toluene,2250,toluene,2280,toluene
TADF-M-02183,,,36,toluene,,
TADF-M-02928,200,toluene,3170,toluene,2970,toluene
TADF-M-02929,260,toluene,3180,toluene,2920,toluene
TADF-M-02930,70,SiTrzCz2,3250,SiTrzCz2,3180,SiTrzCz2
TADF-M-02931,30,SiTrzCz2,3190,SiTrzCz2,3150,SiTrzCz2
TADF-M-02932,147,toluene,2825,toluene,2678,toluene
TADF-M-02933,45,toluene,2680,toluene,2635,toluene
TADF-M-00730,100,neat film,2820,neat film,2720,neat film
TADF-M-02934,,,2160,toluene,,
TADF-M-02935,,,2090,toluene,,
TADF-M-02936,30,toluene,2420,toluene,2390,toluene
TADF-M-02202,690,THF,,,,
TADF-M-02203,430,THF,,,,
TADF-M-02937,190,toluene,3050,toluene,2860,toluene
TADF-M-02938,150,toluene,2880,toluene,2730,toluene
TADF-M-02205,310,CBP,3100,CBP,2790,CBP
TADF-M-02206,100,CBP,3020,CBP,2920,CBP
TADF-M-02207,80,CBP,2720,CBP,2640,CBP
TADF-M-02208,90,CBP,2870,CBP,2780,CBP
TADF-M-02209,240,CBP,2740,CBP,2500,CBP
TADF-M-02210,320,CBP,2930,CBP,2610,CBP
TADF-M-00801,10,CBP,2330,CBP,2320,CBP
TADF-M-02211,120,mCP,2170,mCP,2050,mCP
TADF-M-02212,110,mCP,2160,mCP,2050,mCP
TADF-M-02213,160,toluene,3200,toluene,3040,toluene
TADF-M-02214,90,toluene,3120,toluene,3030,toluene
TADF-M-02939,75,CBP,2301,CBP,2226,CBP
TADF-M-02940,62,CBP,2222,CBP,2160,CBP
TADF-M-02941,57,CBP,2185,CBP,2128,CBP
TADF-M-02942,140,toluene,2840,toluene,2700,toluene
TADF-M-02943,170,toluene,2850,toluene,2680,toluene
TADF-M-02215,200,toluene,2580,toluene,2380,toluene
TADF-M-02063,230,toluene,,,,
TADF-M-02216,10,toluene,,,,
TADF-M-02946,,,3580,toluene,2850,toluene
TADF-M-02947,,,3590,toluene,2850,toluene
TADF-M-02217,350,toluene,2870,toluene,2520,toluene
TADF-M-02218,280,toluene,2760,toluene,2480,toluene
TADF-M-02219,390,toluene,2970,toluene,2580,toluene
TADF-M-02220,380,PMMA,,,,
TADF-M-02221,50,PMMA,,,,
TADF-M-02222,20,toluene,,,,
TADF-M-02223,20,toluene,,,,
TADF-M-02230,220,neat film,3030,neat film,2810,neat film
TADF-M-02231,140,neat film,2760,neat film,2620,neat film
TADF-M-02232,170,neat film,3050,neat film,2880,neat film
TADF-M-02233,180,neat film,3080,neat film,2900,neat film
TADF-M-02234,180,neat film,3050,neat film,2870,neat film
TADF-M-02235,180,neat film,3070,neat film,2890,neat film
TADF-M-02236,170,THF,,,,
TADF-M-02237,190,toluene,2660,toluene,2470,toluene
TADF-M-02238,160,toluene,2340,toluene,2180,toluene
TADF-M-02239,160,toluene,2230,toluene,2070,toluene
TADF-M-00447,150,toluene,2590,mCP,2450,toluene
TADF-M-00449,240,toluene,,,,
TADF-M-00448,230,toluene,,,,
